Epoch: 123/300, loss=1.4883, acc=0.9689
Epoch: 124/300, loss=1.4881, acc=0.9678
Epoch: 125/300, loss=1.4881, acc=0.9698
Epoch: 126/300, loss=1.4880, acc=0.9697
Epoch: 127/300, loss=1.4882, acc=0.9677
Epoch: 128/300, loss=1.4881, acc=0.9677
Epoch: 129/300, loss=1.4880, acc=0.9702
Epoch: 130/300, loss=1.4881, acc=0.9679
Epoch: 131/300, loss=1.4881, acc=0.9698
Epoch: 132/300, loss=1.4881, acc=0.9687
Epoch: 133/300, loss=1.4880, acc=0.9686
Epoch: 134/300, loss=1.4880, acc=0.9688
Epoch: 135/300, loss=1.4879, acc=0.9683
Epoch: 136/300, loss=1.4880, acc=0.9683
Epoch: 137/300, loss=1.4875, acc=0.9682
Epoch: 138/300, loss=1.4878, acc=0.9688
Epoch: 139/300, loss=1.4880, acc=0.9689
Epoch: 140/300, loss=1.4878, acc=0.9691
Epoch: 141/300, loss=1.4878, acc=0.9676
Epoch: 142/300, loss=1.4878, acc=0.9689
Epoch: 143/300, loss=1.4879, acc=0.9690
Epoch: 144/300, loss=1.4878, acc=0.9695
Epoch: 145/300, loss=1.4877, acc=0.9676
Epoch: 146/300, loss=1.4877, acc=0.9678
Epoch: 147/300, loss=1.4878, acc=0.9689
Epoch: 148/300, loss=1.4878, acc=0.9683
Epoch: 149/300, loss=1.4877, acc=0.9686
Epoch: 150/300, loss=1.4872, acc=0.9689
Epoch: 151/300, loss=1.4870, acc=0.9697
Epoch: 152/300, loss=1.4871, acc=0.9692
Epoch: 153/300, loss=1.4870, acc=0.9674
Epoch: 154/300, loss=1.4871, acc=0.9687
Epoch: 155/300, loss=1.4869, acc=0.9680
Epoch: 156/300, loss=1.4869, acc=0.9686
Epoch: 157/300, loss=1.4869, acc=0.9692
Epoch: 158/300, loss=1.4870, acc=0.9691
Epoch: 159/300, loss=1.4871, acc=0.9681
Epoch: 160/300, loss=1.4870, acc=0.9687
Epoch: 161/300, loss=1.4870, acc=0.9678
Epoch: 162/300, loss=1.4870, acc=0.9677
Epoch: 163/300, loss=1.4868, acc=0.9682
Epoch: 164/300, loss=1.4869, acc=0.9686
Epoch: 165/300, loss=1.4868, acc=0.9686
Epoch: 166/300, loss=1.4867, acc=0.9703
Epoch: 167/300, loss=1.4867, acc=0.9685
Epoch: 168/300, loss=1.4868, acc=0.9682
Epoch: 169/300, loss=1.4868, acc=0.9691
Epoch: 170/300, loss=1.4869, acc=0.9679
Epoch: 171/300, loss=1.4867, acc=0.9696
Epoch: 172/300, loss=1.4869, acc=0.9687
Epoch: 173/300, loss=1.4867, acc=0.9676
Epoch: 174/300, loss=1.4867, acc=0.9672
Epoch: 175/300, loss=1.4868, acc=0.9681
Epoch: 176/300, loss=1.4868, acc=0.9697
Epoch: 177/300, loss=1.4867, acc=0.9680
Epoch: 178/300, loss=1.4867, acc=0.9684
Epoch: 179/300, loss=1.4868, acc=0.9680
Epoch: 180/300, loss=1.4867, acc=0.9682
Epoch: 181/300, loss=1.4868, acc=0.9671
Epoch: 182/300, loss=1.4869, acc=0.9691
Epoch: 183/300, loss=1.4866, acc=0.9685
Epoch: 184/300, loss=1.4866, acc=0.9686
Epoch: 185/300, loss=1.4868, acc=0.9686
Epoch: 186/300, loss=1.4867, acc=0.9680
Epoch: 187/300, loss=1.4866, acc=0.9672
Epoch: 188/300, loss=1.4865, acc=0.9683
Epoch: 189/300, loss=1.4867, acc=0.9682
